transaction_id,timestamp,sender,receiver,amount,currency
TX00000000,2025-01-01 00:01:11.246894516+00:00,AC00439,AC00344,32.16,EUR
TX00000001,2025-01-01 00:10:12.174600283+00:00,AC00460,AC00075,15.64,EUR
TX00000002,2025-01-01 00:18:42.625325243+00:00,AC00462,AC00336,466.15,EUR
TX00000003,2025-01-01 00:33:32.347584405+00:00,AC00342,AC00166,259.54,EUR
TX00000004,2025-01-01 00:36:43.335126161+00:00,AC00051,AC00269,2535.95,EUR
TX00000005,2025-01-01 00:40:48.901777368+00:00,AC00150,AC00171,133.69,EUR
TX00000006,2025-01-01 00:44:45.673152693+00:00,AC00216,AC00179,2657.14,EUR
TX00000007,2025-01-01 00:49:38.293780750+00:00,AC00178,AC00251,108.9,EUR
TX00000008,2025-01-01 00:55:45.632746185+00:00,AC00280,AC00262,1208.91,EUR
TX00000009,2025-01-01 00:57:30.982327470+00:00,AC00183,AC00307,140.76,EUR
TX00000010,2025-01-01 00:58:13.318872355+00:00,AC00264,AC00022,58.53,EUR
TX00000011,2025-01-01 01:08:13.997801840+00:00,AC00226,AC00141,176.68,EUR
TX00000012,2025-01-01 01:16:48.113043521+00:00,AC00215,AC00009,9558.61,EUR
TX00000013,2025-01-01 01:18:52.482878533+00:00,AC00249,AC00445,356.31,EUR
TX00000014,2025-01-01 01:27:25.100749605+00:00,AC00248,AC00220,124.62,EUR
TX00000015,2025-01-01 01:32:49.122164104+00:00,AC00310,AC00213,343.18,EUR
TX00000016,2025-01-01 01:39:16.325429692+00:00,AC00163,AC00401,32.58,EUR
TX00000017,2025-01-01 01:43:21.540840450+00:00,AC00390,AC00429,203.9,EUR
TX00000018,2025-01-01 01:43:26.532744983+00:00,AC00479,AC00338,770.56,EUR
TX00000019,2025-01-01 01:45:10.766139415+00:00,AC00119,AC00036,733.62,EUR
TX00000020,2025-01-01 01:50:21.580349356+00:00,AC00081,AC00334,71.48,EUR
TX00000021,2025-01-01 01:54:29.280651180+00:00,AC00257,AC00165,341.38,EUR
TX00000022,2025-01-01 01:57:16.630379206+00:00,AC00219,AC00088,53.82,EUR
TX00000023,2025-01-01 02:00:19.759577628+00:00,AC00320,AC00360,262.42,EUR
TX00000024,2025-01-01 02:01:39.149386499+00:00,AC00257,AC00134,192.16,EUR
TX00000025,2025-01-01 02:11:50.769689617+00:00,AC00218,AC00375,915.13,EUR
TX00000026,2025-01-01 02:21:14.097060656+00:00,AC00488,AC00054,1374.88,EUR
TX00000027,2025-01-01 02:21:34.553473274+00:00,AC00006,AC00489,215.66,EUR
TX00000028,2025-01-01 02:29:03.287181989+00:00,AC00482,AC00480,313.39,EUR
TX00000029,2025-01-01 02:32:38.615353723+00:00,AC00036,AC00218,505.38,EUR
TX00000030,2025-01-01 02:37:39.704940550+00:00,AC00472,AC00365,72.34,EUR
TX00000031,2025-01-01 02:38:38.691897169+00:00,AC00240,AC00280,216.42,EUR
TX00000032,2025-01-01 02:41:27.441324014+00:00,AC00059,AC00318,231.44,EUR
TX00000033,2025-01-01 02:45:21.715870920+00:00,AC00287,AC00309,1389.48,EUR
TX00000034,2025-01-01 02:52:37.557173856+00:00,AC00024,AC00371,64.0,EUR
TX00000035,2025-01-01 03:04:09.038008040+00:00,AC00110,AC00195,99.13,EUR
TX00000036,2025-01-01 03:04:34.931122994+00:00,AC00256,AC00192,1544.56,EUR
TX00000037,2025-01-01 03:05:35.007763529+00:00,AC00213,AC00302,179.63,EUR
TX00000038,2025-01-01 03:09:28.023850450+00:00,AC00275,AC00202,1561.71,EUR
TX00000039,2025-01-01 03:10:52.001553339+00:00,AC00496,AC00244,690.9,EUR
TX00000040,2025-01-01 03:12:55.631741386+00:00,AC00134,AC00042,225.91,EUR
TX00000041,2025-01-01 03:21:28.148984288+00:00,AC00202,AC00176,1629.56,EUR
TX00000042,2025-01-01 03:26:12.198141005+00:00,AC00314,AC00169,38.84,EUR
TX00000043,2025-01-01 03:26:25.446066104+00:00,AC00030,AC00343,218.86,EUR
TX00000044,2025-01-01 03:33:28.274118126+00:00,AC00176,AC00314,1399.32,EUR
TX00000045,2025-01-01 03:41:09.127704286+00:00,AC00071,AC00066,658.88,EUR
TX00000046,2025-01-01 03:42:02.092221184+00:00,AC00004,AC00145,684.07,EUR
TX00000047,2025-01-01 03:45:28.399251964+00:00,AC00314,AC00292,1466.22,EUR
TX00000048,2025-01-01 03:46:43.473388672+00:00,AC00351,AC00259,482.58,EUR
TX00000049,2025-01-01 03:47:45.703419537+00:00,AC00378,AC00370,72.51,EUR
TX00000050,2025-01-01 03:48:16.994515921+00:00,AC00361,AC00070,299.54,EUR
TX00000051,2025-01-01 03:52:40.393145699+00:00,AC00184,AC00486,137.11,EUR
TX00000052,2025-01-01 03:57:28.524385802+00:00,AC00292,AC00329,1546.52,EUR
TX00000053,2025-01-01 04:09:09.266804060+00:00,AC00221,AC00489,5451.03,EUR
TX00000054,2025-01-01 04:19:42.561549219+00:00,AC00466,AC00170,81.06,EUR
TX00000055,2025-01-01 04:21:59.871335911+00:00,AC00024,AC00170,7683.91,EUR
TX00000056,2025-01-01 04:25:38.344873074+00:00,AC00330,AC00090,1220.64,EUR
TX00000057,2025-01-01 04:28:02.388354606+00:00,AC00447,AC00098,73.93,EUR
TX00000058,2025-01-01 04:33:15.967055010+00:00,AC00290,AC00224,2885.35,EUR
TX00000059,2025-01-01 04:40:50.546004513+00:00,AC00135,AC00400,268.58,EUR
TX00000060,2025-01-01 04:51:51.360871770+00:00,AC00076,AC00048,84.6,EUR
TX00000061,2025-01-01 04:57:32.816970926+00:00,AC00419,AC00395,103.35,EUR
TX00000062,2025-01-01 04:59:00.372510370+00:00,AC00038,AC00489,13106.34,EUR
TX00000063,2025-01-01 05:02:39.952779561+00:00,AC00099,AC00335,732.44,EUR
TX00000064,2025-01-01 05:02:40.638026488+00:00,AC00017,AC00261,640.54,EUR
TX00000065,2025-01-01 05:04:09.493919440+00:00,AC00155,AC00442,367.2,EUR
TX00000066,2025-01-01 05:08:52.342365628+00:00,AC00489,AC00083,2649.84,EUR
TX00000067,2025-01-01 05:10:25.309372530+00:00,AC00119,AC00040,445.71,EUR
TX00000068,2025-01-01 05:16:38.499692309+00:00,AC00231,AC00403,603.23,EUR
TX00000069,2025-01-01 05:18:44.312220887+00:00,AC00489,AC00140,2734.97,EUR
TX00000070,2025-01-01 05:19:36.674525026+00:00,AC00248,AC00433,7987.97,EUR
TX00000071,2025-01-01 05:20:22.466583923+00:00,AC00178,AC00221,159.94,EUR
TX00000072,2025-01-01 05:25:42.720078898+00:00,AC00464,AC00101,264.11,EUR
TX00000073,2025-01-01 05:28:36.282076145+00:00,AC00489,AC00323,3021.27,EUR
TX00000074,2025-01-01 05:34:11.751801869+00:00,AC00096,AC00116,36.68,EUR
TX00000075,2025-01-01 05:34:32.503026467+00:00,AC00448,AC00335,796.3,EUR
TX00000076,2025-01-01 05:38:28.251931403+00:00,AC00489,AC00080,2221.58,EUR
TX00000077,2025-01-01 05:42:18.522032052+00:00,AC00191,AC00141,241.79,EUR
TX00000078,2025-01-01 05:47:00.426646733+00:00,AC00447,AC00104,173.77,EUR
TX00000079,2025-01-01 05:48:20.221786662+00:00,AC00489,AC00091,2698.28,EUR
TX00000080,2025-01-01 05:52:02.712790776+00:00,AC00336,AC00039,304.99,EUR
TX00000081,2025-01-01 05:56:58.706001414+00:00,AC00054,AC00300,1809.48,EUR
TX00000082,2025-01-01 05:58:05.490799925+00:00,AC00172,AC00386,292.62,EUR
TX00000083,2025-01-01 06:06:25.053273372+00:00,AC00306,AC00335,671.08,EUR
TX00000084,2025-01-01 06:09:36.797081083+00:00,AC00068,AC00383,1280.1,EUR
TX00000085,2025-01-01 06:10:33.371373646+00:00,AC00260,AC00296,57.61,EUR
TX00000086,2025-01-01 06:16:46.984710686+00:00,AC00481,AC00070,638.19,EUR
TX00000087,2025-01-01 06:24:23.067268219+00:00,AC00008,AC00077,4599.83,EUR
TX00000088,2025-01-01 06:29:40.764064864+00:00,AC00425,AC00228,199.49,EUR
TX00000089,2025-01-01 06:34:20.498680724+00:00,AC00008,AC00420,64.32,EUR
