feature,importance
minutes_since_inflow,0.3127923384088906
log_amount,0.272131483454872
amount_to_inflow_24h,0.10388350758959344
hour_cos,0.05958808343185633
sender_in_count_24h,0.04880040144432686
receiver_in_count_24h,0.04658717408252544
amount_to_sender_mean,0.0447500527860661
hour_sin,0.04099543367109505
receiver_unique_senders_24h,0.04020867727448354
sender_out_count_24h,0.011711534495505474
sender_unique_receivers_24h,0.00942130966838957
seen_pair_24h,0.007525455237512994
closes_cycle_24h,0.00160454845488259
